date,time_min,voltage_v,current_amps,power_watts,temp_c,press_atm,rh_%
2020-03-31_20-31-17,3.69,12.0,3.919,47.028,-5.55,0.961,0.5699799999999999
2020-03-31_20-31-19,3.73,12.0,3.919,47.028,-5.57,0.961,0.5703499999999999
2020-03-31_20-31-21,3.77,12.0,3.918,47.016,-5.6,0.961,0.57082
2020-03-31_20-31-23,3.8,12.0,3.918,47.016,-5.62,0.961,0.57118
2020-03-31_20-31-26,3.84,12.0,3.919,47.028,-5.65,0.961,0.5716
2020-03-31_20-31-28,3.87,12.0,3.919,47.028,-5.66,0.961,0.57213
2020-03-31_20-31-30,3.91,12.0,3.918,47.016,-5.65,0.961,0.57257
2020-03-31_20-31-32,3.94,12.0,3.919,47.028,-5.65,0.961,0.573
2020-03-31_20-31-34,3.98,12.0,3.92,47.04,-5.65,0.961,0.57326
2020-03-31_20-31-36,4.01,12.0,3.919,47.028,-5.68,0.961,0.5735199999999999
2020-03-31_20-31-38,4.05,12.0,3.922,47.064,-5.7,0.961,0.57378
2020-03-31_20-31-40,4.08,12.0,3.919,47.028,-5.72,0.961,0.57393
2020-03-31_20-31-43,4.12,12.0,3.919,47.028,-5.75,0.961,0.57407
2020-03-31_20-31-45,4.15,12.0,3.919,47.028,-5.77,0.961,0.57439
2020-03-31_20-31-47,4.19,12.0,3.919,47.028,-5.79,0.961,0.5747
2020-03-31_20-31-49,4.22,12.0,3.919,47.028,-5.8,0.961,0.5748
2020-03-31_20-31-51,4.26,12.0,3.92,47.04,-5.81,0.961,0.5751700000000001
2020-03-31_20-31-53,4.29,12.0,3.919,47.028,-5.83,0.961,0.57543
2020-03-31_20-31-55,4.33,12.0,3.919,47.028,-5.84,0.961,0.57548
2020-03-31_20-31-57,4.36,12.0,3.919,47.028,-5.87,0.961,0.57541
2020-03-31_20-31-59,4.4,12.0,3.919,47.028,-5.87,0.961,0.57557
2020-03-31_20-32-02,4.43,12.0,3.919,47.028,-5.9,0.961,0.57555
2020-03-31_20-32-04,4.47,12.0,3.919,47.028,-5.92,0.961,0.5755899999999999
2020-03-31_20-32-06,4.5,12.0,3.919,47.028,-5.93,0.961,0.57569
2020-03-31_20-32-08,4.54,12.0,3.919,47.028,-5.94,0.961,0.57585
2020-03-31_20-32-10,4.58,12.0,3.919,47.028,-5.93,0.961,0.57618
2020-03-31_20-32-12,4.61,12.0,3.919,47.028,-5.94,0.961,0.5763900000000001
2020-03-31_20-32-14,4.65,12.0,3.919,47.028,-5.97,0.961,0.57637
2020-03-31_20-32-16,4.68,12.0,3.919,47.028,-6.01,0.961,0.57641
2020-03-31_20-32-18,4.72,12.0,3.919,47.028,-6.03,0.961,0.57655
2020-03-31_20-32-21,4.75,12.0,3.919,47.028,-6.06,0.961,0.57654
2020-03-31_20-32-23,4.79,12.0,3.919,47.028,-6.09,0.961,0.57674
2020-03-31_20-32-25,4.82,12.0,3.919,47.028,-6.11,0.961,0.57689
2020-03-31_20-32-27,4.86,12.0,3.919,47.028,-6.12,0.961,0.57715
2020-03-31_20-32-29,4.89,12.0,3.919,47.028,-6.13,0.961,0.5774199999999999
2020-03-31_20-32-31,4.93,12.0,3.919,47.028,-6.14,0.961,0.57752
2020-03-31_20-32-33,4.96,12.0,3.919,47.028,-6.15,0.961,0.57794
2020-03-31_20-32-35,5.0,12.0,3.919,47.028,-6.15,0.961,0.57804
2020-03-31_20-32-37,5.03,12.0,3.919,47.028,-6.18,0.961,0.57819
2020-03-31_20-32-39,5.07,12.0,3.92,47.04,-6.18,0.961,0.57851
2020-03-31_20-32-42,5.1,12.0,3.919,47.028,-6.16,0.961,0.57874
2020-03-31_20-32-44,5.14,12.0,3.919,47.028,-6.16,0.961,0.5789
2020-03-31_20-32-46,5.17,12.0,3.919,47.028,-6.17,0.961,0.57911
2020-03-31_20-32-48,5.21,12.0,3.919,47.028,-6.17,0.961,0.57933
2020-03-31_20-32-50,5.24,12.0,3.919,47.028,-6.18,0.961,0.57943
2020-03-31_20-32-52,5.28,12.0,3.919,47.028,-6.18,0.961,0.5796399999999999
2020-03-31_20-32-54,5.31,12.0,3.919,47.028,-6.19,0.961,0.57969
2020-03-31_20-32-56,5.35,12.0,3.919,47.028,-6.22,0.961,0.5796800000000001
2020-03-31_20-32-58,5.38,12.0,3.922,47.064,-6.23,0.961,0.5800500000000001
2020-03-31_20-33-01,5.42,12.0,3.913,46.956,-5.97,0.961,0.58121
2020-03-31_20-33-03,5.45,12.0,3.903,46.836,-5.61,0.961,0.58501
2020-03-31_20-33-05,5.49,12.0,3.906,46.872,-5.9,0.961,0.58501
2020-03-31_20-33-07,5.52,12.0,3.907,46.884,-5.95,0.961,0.58503
2020-03-31_20-33-09,5.56,12.0,3.907,46.884,-5.99,0.961,0.58507
2020-03-31_20-33-11,5.59,12.0,3.907,46.884,-6.02,0.961,0.58489
2020-03-31_20-33-13,5.63,12.0,3.908,46.896,-6.05,0.961,0.58477
2020-03-31_20-33-15,5.66,12.0,3.91,46.92,-6.09,0.961,0.58453
2020-03-31_20-33-17,5.7,12.0,3.912,46.944,-6.11,0.961,0.5845199999999999
2020-03-31_20-33-19,5.73,12.0,3.91,46.92,-6.11,0.961,0.58462
2020-03-31_20-33-22,5.77,12.0,3.911,46.932,-6.13,0.961,0.5845600000000001
2020-03-31_20-33-24,5.8,12.0,3.91,46.92,-6.14,0.961,0.58461
2020-03-31_20-33-26,5.84,12.0,3.91,46.92,-6.14,0.961,0.58471
2020-03-31_20-33-28,5.87,12.0,3.91,46.92,-6.14,0.961,0.58471
2020-03-31_20-33-30,5.91,12.0,3.91,46.92,-6.15,0.961,0.58476
2020-03-31_20-33-32,5.94,12.0,3.91,46.92,-6.15,0.961,0.58476
2020-03-31_20-33-34,5.98,12.0,3.91,46.92,-6.16,0.961,0.58476
2020-03-31_20-33-36,6.01,12.0,3.91,46.92,-6.18,0.961,0.5848
2020-03-31_20-33-38,6.05,12.0,3.91,46.92,-6.18,0.961,0.58485
2020-03-31_20-33-41,6.08,12.0,3.913,46.956,-6.19,0.961,0.58485
2020-03-31_20-33-43,6.12,12.0,3.913,46.956,-6.22,0.961,0.58494
2020-03-31_20-33-45,6.15,12.0,3.913,46.956,-6.2,0.961,0.58511
2020-03-31_20-33-47,6.19,12.0,3.913,46.956,-6.18,0.961,0.58544
2020-03-31_20-33-49,6.22,12.0,3.913,46.956,-6.18,0.961,0.58545
2020-03-31_20-33-51,6.26,12.0,3.913,46.956,-6.17,0.961,0.5855
2020-03-31_20-33-53,6.29,12.0,3.913,46.956,-6.16,0.961,0.58556
2020-03-31_20-33-55,6.33,12.0,3.913,46.956,-6.13,0.961,0.58563
2020-03-31_20-33-57,6.37,12.0,3.913,46.956,-6.12,0.961,0.58564
2020-03-31_20-34-00,6.4,12.0,3.913,46.956,-6.12,0.961,0.5855899999999999
2020-03-31_20-34-02,6.44,12.0,3.913,46.956,-6.11,0.961,0.58548
2020-03-31_20-34-04,6.47,12.0,3.913,46.956,-6.13,0.961,0.58537
2020-03-31_20-34-06,6.51,12.0,3.913,46.956,-6.14,0.961,0.58509
2020-03-31_20-34-08,6.54,12.0,3.913,46.956,-6.15,0.961,0.5849799999999999
2020-03-31_20-34-10,6.58,12.0,3.913,46.956,-6.15,0.961,0.58492
2020-03-31_20-34-12,6.61,12.0,3.913,46.956,-6.16,0.961,0.58502
2020-03-31_20-34-14,6.65,12.0,3.913,46.956,-6.17,0.961,0.58518
2020-03-31_20-34-16,6.68,12.0,3.913,46.956,-6.18,0.961,0.58512
2020-03-31_20-34-18,6.72,12.0,3.913,46.956,-6.18,0.961,0.58518
2020-03-31_20-34-21,6.75,12.0,3.913,46.956,-6.17,0.961,0.58545
2020-03-31_20-34-23,6.79,12.0,3.913,46.956,-6.17,0.961,0.58545
2020-03-31_20-34-25,6.82,12.0,3.913,46.956,-6.16,0.961,0.58546
2020-03-31_20-34-27,6.86,12.0,3.919,47.028,-6.16,0.961,0.58551
2020-03-31_20-34-29,6.89,12.0,3.916,46.992,-6.16,0.961,0.58551
2020-03-31_20-34-31,6.93,12.0,3.917,47.004,-6.17,0.961,0.58556
2020-03-31_20-34-33,6.96,12.0,3.917,47.004,-6.14,0.961,0.58568
2020-03-31_20-34-35,7.0,12.0,3.919,47.028,-6.13,0.961,0.5857399999999999
2020-03-31_20-34-37,7.03,12.0,3.919,47.028,-6.14,0.961,0.58563
2020-03-31_20-34-40,7.07,12.0,3.919,47.028,-6.13,0.961,0.58542
2020-03-31_20-34-42,7.1,12.0,3.919,47.028,-6.14,0.961,0.5852
2020-03-31_20-34-44,7.14,12.0,3.919,47.028,-6.13,0.961,0.5852
2020-03-31_20-34-46,7.17,12.0,3.916,46.992,-6.14,0.961,0.58509
2020-03-31_20-34-48,7.21,12.0,3.918,47.016,-6.14,0.961,0.5849300000000001
2020-03-31_20-34-50,7.24,12.0,3.916,46.992,-6.15,0.961,0.5846
2020-03-31_20-34-52,7.28,12.0,3.916,46.992,-6.17,0.961,0.58443
2020-03-31_20-34-54,7.31,12.0,3.916,46.992,-6.18,0.961,0.58426
2020-03-31_20-34-56,7.35,12.0,3.916,46.992,-6.17,0.961,0.58411
2020-03-31_20-34-58,7.38,12.0,3.916,46.992,-6.19,0.961,0.58404
2020-03-31_20-35-01,7.42,12.0,3.916,46.992,-6.22,0.961,0.58387
2020-03-31_20-35-03,7.45,12.0,3.916,46.992,-6.21,0.961,0.58392
2020-03-31_20-35-05,7.49,12.0,3.916,46.992,-6.2,0.961,0.58377
2020-03-31_20-35-07,7.52,12.0,3.916,46.992,-6.21,0.961,0.58387
2020-03-31_20-35-09,7.56,12.0,3.916,46.992,-6.22,0.961,0.58381
2020-03-31_20-35-11,7.59,12.0,3.916,46.992,-6.23,0.961,0.58386
2020-03-31_20-35-13,7.63,12.0,3.916,46.992,-6.23,0.961,0.5838
2020-03-31_20-35-15,7.66,12.0,3.918,47.016,-6.24,0.961,0.5838
2020-03-31_20-35-17,7.7,12.0,3.917,47.004,-6.27,0.961,0.58378
2020-03-31_20-35-19,7.73,12.0,3.916,46.992,-6.27,0.961,0.58378
2020-03-31_20-35-22,7.77,12.0,3.916,46.992,-6.28,0.961,0.5838300000000001
2020-03-31_20-35-24,7.8,12.0,3.916,46.992,-6.27,0.961,0.58399
2020-03-31_20-35-26,7.84,12.0,3.916,46.992,-6.29,0.961,0.58409
2020-03-31_20-35-28,7.87,12.0,3.916,46.992,-6.27,0.961,0.58421
